id,url,title,genres,averageRating,numVotes,releaseYear
tt0111161,https://www.imdb.com/title/tt0111161/,"The Shawshank Redemption","[""Drama""]",9.3,2949695,1994
tt0068646,https://www.imdb.com/title/tt0068646/,"The Godfather","[""Crime"", ""Drama""]",9.2,2056153,1972
tt0252487,https://www.imdb.com/title/tt0252487/,"The Chaos Class","[""Comedy""]",9.2,43555,1975
tt0259534,https://www.imdb.com/title/tt0259534/,"Ramayana: The Legend of Prince Rama","[""Action"", ""Adventure"", ""Animation""]",9.2,15391,1993
tt16747572,https://www.imdb.com/title/tt16747572/,"The Silence of Swastika","[""Documentary"", ""History""]",9.2,10564,2021
tt0468569,https://www.imdb.com/title/tt0468569/,"The Dark Knight","[""Action"", ""Crime"", ""Drama""]",9,2930683,2008
tt0167260,https://www.imdb.com/title/tt0167260/,"The Lord of the Rings: The Return of the King","[""Action"", ""Adventure"", ""Drama""]",9,2019180,2003
tt0108052,https://www.imdb.com/title/tt0108052/,"Schindler's List","[""Biography"", ""Drama"", ""History""]",9,1479664,1993
tt0071562,https://www.imdb.com/title/tt0071562/,"The Godfather Part II","[""Crime"", ""Drama""]",9,1389641,1974
tt0050083,https://www.imdb.com/title/tt0050083/,"12 Angry Men","[""Crime"", ""Drama""]",9,887410,1957
tt27719898,https://www.imdb.com/title/tt27719898/,Kaiva,"[""Action"", ""Drama"", ""Romance""]",9,68910,2023
tt0110912,https://www.imdb.com/title/tt0110912/,"Pulp Fiction","[""Crime"", ""Drama""]",8.9,2265102,1994
tt0120737,https://www.imdb.com/title/tt0120737/,"The Lord of the Rings: The Fellowship of the Ring","[""Action"", ""Adventure"", ""Drama""]",8.9,2048785,2001
tt5354160,https://www.imdb.com/title/tt5354160/,"Mirror Game","[""Crime"", ""Mystery"", ""Thriller""]",8.9,30053,2016
tt0253828,https://www.imdb.com/title/tt0253828/,"Tosun Pasha","[""Comedy""]",8.9,24976,1976
tt0252488,https://www.imdb.com/title/tt0252488/,"The Chaos Class Failed the Class","[""Comedy""]",8.9,24967,1975
tt5275892,https://www.imdb.com/title/tt5275892/,"O.J.: Made in America","[""Biography"", ""Crime"", ""Documentary""]",8.9,22603,2016
